Identifier,Title,Implementation Applicable (Y/N),Non Applicability Rationale,Description from ISM
ISM-1938,Domain Computers security group has no write/modify AD object permissions,Y,,The Domain Computers security group does not have write or modify permissions to any Microsoft Active Directory objects.
ISM-1620,Privileged users are in Protected Users security group,Y,,Privileged user accounts are members of the Protected Users security group.
ISM-1939,Minimise members of highly-privileged security groups,Y,,"The number of user accounts that are members of the Domain Admins, Enterprise Admins or other highly-privileged security groups is minimised."
ISM-1940,Service accounts not in highly-privileged security groups,Y,,"Service accounts are not members of the Domain Admins, Enterprise Admins or other highly-privileged security groups."
ISM-1941,Computer accounts not in highly-privileged groups,Y,,"Computer accounts are not members of the Domain Admins, Enterprise Admins or other highly-privileged security groups."
ISM-1942,Domain Computers group not member of privileged/highly-privileged groups,Y,,The Domain Computers security group is not a member of any privileged or highly-privileged security groups.
ISM-1845,Remove disabled accounts from all security groups,Y,,"When a user account is disabled, it is removed from all security group memberships."
ISM-1846,Pre-Windows 2000 Compatible Access security group contains no user accounts,Y,,The Pre-Windows 2000 Compatible Access security group does not contain user accounts.
ISM-1943,Enforce strong certificate-user mapping,Y,,Strong mapping between certificates and users is enforced.
ISM-1944,Remove EDITF_ATTRIBUTESUBJECTALTNAME2 flag from CA configuration,Y,,The EDITF_ATTRIBUTESUBJECTALTNAME2 flag is removed from Microsoft AD CS CA configurations.
ISM-1945,Remove CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT from certificate templates,Y,,The CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT flag is removed from certificate templates.
ISM-1946,Remove write access to certificate templates for unprivileged users,Y,,Unprivileged user accounts do not have write access to certificate templates.
ISM-1947,Remove user-authentication EKUs,Y,,Extended Key Usages that enable user authentication are removed.
ISM-1948,Require CA Certificate Manager approval for templates allowing SAN,Y,,CA Certificate Manager approval is required for certificate templates that allow a Subject Alternative Name to be supplied.
ISM-1949,Administer AD FS servers with dedicated service account,Y,,Microsoft AD FS servers are administered using a dedicated service account that is not used to administer other systems.
ISM-1950,Disable soft matching between AD DS and Entra ID after initial sync,Y,,Soft matching between Microsoft AD DS and Microsoft Entra ID is disabled following initial synchronisation activities.
ISM-1951,Disable hard match takeover for Entra Connect servers,Y,,Hard match takeover is disabled for Microsoft Entra Connect servers.
ISM-1952,Do not sync privileged accounts between AD and Entra,Y,,Privileged user accounts are not synchronised between Microsoft AD DS and Microsoft Entra ID.
ISM-1978,Log security events for internet-facing server apps centrally,Y,,Security-relevant events for server applications on internet-facing servers are centrally logged.
ISM-1979,Log security events for non-internet-facing server apps centrally,Y,,Security-relevant events for server applications on non-internet-facing servers are centrally logged.
ISM-1546,Authenticate users before granting system access,Y,,Users are authenticated before they are granted access to a system and its resources.
ISM-1603,Disable replay-susceptible authentication methods,Y,,Authentication methods susceptible to replay attacks are disabled.
ISM-1055,Disable LAN Manager/NTLM authentication methods,Y,,LAN Manager and NT LAN Manager authentication methods are disabled.
ISM-2076,Do not use security questions for authentication,Y,,Security questions are not used for authentication purposes.
ISM-2077,Do not use email for out-of-band authentication,Y,,Email is not used for out-of-band authentication purposes.
ISM-1504,Use MFA for organisation’s sensitive services,Y,,"Multi-factor authentication is used to authenticate users to their organisation’s online services that process, store or communicate their organisation’s sensitive data."
ISM-1679,Use MFA for third-party sensitive services,Y,,"Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation’s sensitive data."
ISM-1680,Use MFA (where available) for third-party non-sensitive services,Y,,"Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation’s non-sensitive data."
ISM-1892,Use MFA for organisation’s sensitive customer services,Y,,"Multi-factor authentication is used to authenticate users to their organisation’s online customer services that process, store or communicate their organisation’s sensitive customer data."
ISM-1893,Use MFA for third-party sensitive customer services,Y,,"Multi-factor authentication is used to authenticate users to third-party online customer services that process, store or communicate their organisation’s sensitive customer data."
ISM-1681,Use MFA for customer access to sensitive customer services,Y,,"Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data."
ISM-1919,Disable authentication protocols that do not support MFA when MFA used,Y,,"When multi-factor authentication is used to authenticate users or customers to online services or online customer services, all other authentication protocols that do not support multi-factor authentication are disabled."
ISM-1173,Use MFA for privileged system users,Y,,Multi-factor authentication is used to authenticate privileged users of systems.
ISM-0974,Use MFA for unprivileged system users,Y,,Multi-factor authentication is used to authenticate unprivileged users of systems.
ISM-1505,Use MFA for data repository users,Y,,Multi-factor authentication is used to authenticate users of data repositories.
ISM-1401,MFA uses possession + knowledge factors or possession unlocked by knowledge/inherence factor,Y,,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are."
ISM-1872,Use phishing-resistant MFA for users of online services,Y,,Multi-factor authentication used for authenticating users of online services is phishing-resistant.
ISM-1873,Provide phishing-resistant MFA option for customers accessing customer services,Y,,Multi-factor authentication used for authenticating customers of online customer services provides a phishing-resistant option.
ISM-1874,MFA for customers accessing customer services is phishing-resistant,Y,,Multi-factor authentication used for authenticating customers of online customer services is phishing-resistant.
ISM-1682,Use phishing-resistant MFA for system users,Y,,Multi-factor authentication used for authenticating users of systems is phishing-resistant.
ISM-1894,Use phishing-resistant MFA for data repository users,Y,,Multi-factor authentication used for authenticating users of data repositories is phishing-resistant.
ISM-2011,Disable weaker MFA when phishing-resistant MFA is used,Y,,"When phishing-resistant multi-factor authentication is used by user accounts, other non-phishing-resistant multi-factor authentication options are disabled for such user accounts."
ISM-1920,Prevent self-enrolment into MFA from untrustworthy devices for sensitive services,Y,,"When multi-factor authentication is used to authenticate users to online services, online customer services, systems or data repositories – that process, store or communicate their organisation’s sensitive data or sensitive customer data – users are prevented from self-enrolling into multi-factor authentication from untrustworthy devices."
ISM-1683,Log successful/unsuccessful MFA events centrally,Y,,Successful and unsuccessful multi-factor authentication events are centrally logged.
ISM-0417,"When MFA unsupported, implement passwords instead",Y,,"When systems cannot support multi-factor authentication, single-factor authentication using passwords is implemented instead."
ISM-1895,Log successful/unsuccessful single-factor auth events,Y,,Successful and unsuccessful single-factor authentication events are centrally logged.
ISM-1559,Password min length for MFA on non-classified systems >= 6 char,Y,,"Passwords used for multi-factor authentication on non-classified, OFFICIAL: Sensitive and PROTECTED systems are a minimum of 6 characters."
ISM-1560,Password min length for MFA on SECRET systems >= 8 char,N,Protected classification; Control only applicable to SECRET classification,"Passwords used for multi-factor authentication on SECRET systems are a minimum of 8 characters."
ISM-1561,Password min length for MFA on TOP SECRET systems >= 10 char,N,Protected classification; Control only applicable to TOP SECRET classification,"Passwords used for multi-factor authentication on TOP SECRET systems are a minimum of 10 characters."
ISM-0421,Single-factor password min length for non-classified >= 15 char,Y,,"Passwords used for single-factor authentication on non-classified, OFFICIAL: Sensitive and PROTECTED systems are a minimum of 15 characters."
ISM-1557,Single-factor password min length for SECRET systems >= 17 char,N,Protected classification; Control only applicable to SECRET classification,"Passwords used for single-factor authentication on SECRET systems are a minimum of 17 characters."
ISM-0422,Single-factor password min length for TOP SECRET systems >= 20 char,N,Protected classification; Control only applicable to TOP SECRET classification,"Passwords used for single-factor authentication on TOP SECRET systems are a minimum of 20 characters."
ISM-1558,Passphrases not using predictable constructions; min words specified,Y,,"Passwords using a sequence of words for single-factor authentication are not constructed using:
• a list of categorised words
• a real sentence in a natural language
• song lyrics, movie or television show quotes, literature, or any other publicly available material
• less than 4 random words for non-classified, OFFICIAL: Sensitive and PROTECTED systems; 5 random words for SECRET systems; or 6 random words for TOP SECRET systems."
ISM-2078,Do not use passwords appearing in common/compromised password lists,Y,,Passwords appearing in lists of commonly used passwords or lists of compromised passwords are not used.
ISM-2079,Password max length limits >=64 char,Y,,Maximum length limits for passwords are not less than 64 characters.
ISM-2080,Do not impose password complexity requirements,Y,,Password complexity requirements are not imposed for passwords.
ISM-2081,Support all ASCII printable characters for passwords,Y,,All ASCII printable characters are supported for passwords.
ISM-1593,Require sufficient identity evidence for new credentials,Y,,Users provide sufficient evidence to verify their identity when requesting new credentials.
ISM-1227,Randomly generate credentials for user accounts,Y,,Credentials set for user accounts are randomly generated.
ISM-1594,Provide credentials via secure channel or split delivery,Y,,"Credentials are provided to users via a secure communications channel or, if not possible, split into two parts with one part provided to users and the other part provided to supervisors."
ISM-1595,Change provided credentials on first use,Y,,Credentials provided to users are changed on first use.
ISM-1596,Prevent credential reuse across systems,Y,,Credentials are not reused by users across different systems.
ISM-1953,"Built-in Administrator credentials must be long, unique, unpredictable and managed",Y,,"Credentials for the built-in Administrator account in each domain are long, unique, unpredictable and managed."
ISM-1685,"Break glass/local admin/service account credentials must be long, unique, unpredictable and managed",Y,,"Credentials for break glass accounts, local administrator accounts and service accounts are long, unique, unpredictable and managed."
ISM-1795,Ensure admin/breakglass/service account credentials are >=30 char,Y,,"Credentials for built-in Administrator accounts, break glass accounts, local administrator accounts and service accounts are a minimum of 30 characters."
ISM-1954,Randomly generate admin/breakglass/service account credentials,Y,,"Credentials for built-in Administrator accounts, break glass accounts, local administrator accounts and service accounts are randomly generated."
ISM-1619,Create service accounts as group Managed Service Accounts,Y,,Service accounts are created as group Managed Service Accounts.
ISM-1590,"Change credentials if compromise discovered/suspected, stored/transmitted in clear, or membership of shared user changes",Y,,"Credentials for user accounts are changed if:
• they are compromised
• they are suspected of being compromised
• they are discovered stored on networks in the clear
• they are discovered being transferred across networks in the clear
• membership of a shared user account changes."
ISM-1955,"Change computer account credentials if compromise discovered/suspected, or unchanged in past 30 days",Y,,"Credentials for computer accounts are changed if they are compromised, they are suspected of being compromised or they have not been changed in the past 30 days."
ISM-1847,"Change KRBTGT service account credentials twice if compromise discovered/suspected, or unchanged in past 12 months",Y,,"Credentials for the Kerberos Key Distribution Center’s service account (KRBTGT) are changed twice, allowing for replication to all Microsoft AD DS domain controllers in-between each change, if the domain has been directly compromised, the domain is suspected of being compromised or they have not been changed in the past 12 months."
ISM-1956,"Change AD FS certificates twice immediately if compromise discovered/suspected, or unchanged in past 12 months",Y,,"Microsoft AD FS token-signing and encryption certificates are changed twice in quick succession if they are compromised, they are suspected of being compromised or they have not been changed in the past 12 months."
ISM-1597,Obscure credentials during entry,Y,,Credentials are obscured as they are entered into systems.
ISM-1980,Disable credential hint functionality,Y,,Credential hint functionality is not used for systems.
ISM-0418,Keep physical credentials separate from systems except during authentication,Y,,"Physical credentials are kept separate from systems they are used to authenticate to, except for when performing authentication activities."
ISM-1402,Protect stored credentials with password manager/HSM/salting+hashing,Y,,"Credentials stored on systems are protected by a password manager; a hardware security module; or by salting, hashing and stretching them before storage within a database."
ISM-1957,Protect CA private keys in HSM,Y,,Private keys for Microsoft AD CS CA servers are protected by a hardware security module.
ISM-1896,Enable memory integrity functionality,Y,,Memory integrity functionality is enabled.
ISM-1861,Enable Local Security Authority protection functionality,Y,,Local Security Authority protection functionality is enabled.
ISM-1686,Enable Credential Guard functionality,Y,,Credential Guard functionality is enabled.
ISM-1897,Enable Remote Credential Guard functionality,Y,,Remote Credential Guard functionality is enabled.
ISM-1749,Limit cached credentials to one previous logon,Y,,Cached credentials are limited to one previous logon.
ISM-1875,Scan networks at least monthly for credentials stored in the clear,Y,,Networks are scanned at least monthly to identify any credentials that are being stored in the clear.
ISM-1403,"Lock out accounts, excluding break-glass, after five failed logons",Y,,"User accounts, except for break glass accounts, are locked out after a maximum of five failed logon attempts."
ISM-0853,Terminate out-of-hours and inactive sessions daily and restart workstations,Y,,"On a daily basis, outside of business hours and after an appropriate period of inactivity, user sessions are terminated and workstations are restarted."
ISM-0428,Configure session lock with strict timeout and re-authentication,Y,,"Services are configured with a session lock that:
• activates after a maximum of 15 minutes of user inactivity, a maximum of 12 hours of overall session time or when manually activated by users
• blocks access to all session content
• requires users to re-authenticate using all authentication factors to unlock the session
• denies users the ability to disable the session locking mechanism."
ISM-2012,Configure screen lock with strict timeout and re-authentication,Y,,"Systems are configured with a screen lock that:
• activates after a maximum of 15 minutes of user inactivity, or when manually activated by users
• conceals all content on the screen
• ensures that the screen does not enter a power saving state before the screen lock is activated
• requires users to re-authenticate using all authentication factors to unlock the system
• denies users the ability to disable the screen locking mechanism."
ISM-0408,Systems have logon banner reminding security responsibilities,Y,,Systems have a logon banner that reminds users of their security responsibilities when accessing the system and its resources.
ISM-1460,Use secure-by-design/secure-by-default focused vendors for software-based isolation mechanisms,Y,,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism is from a vendor that has demonstrated a commitment to Secure by Design and Secure by Default principles and practices, including secure programming practices and either memory-safe programming languages or less preferably memory-safe programming practices."
ISM-1604,Harden software-based isolation mechanisms configs and restrict admin interfaces,Y,,"When using a software-based isolation mechanism to share a physical server’s hardware, the configuration of the isolation mechanism is hardened by removing unneeded functionality and restricting access to the administrative interface used to manage the isolation mechanism."
ISM-1605,Harden underlying OS when using software-based isolation mechanism,Y,,"When using a software-based isolation mechanism to share a physical server’s hardware, the underlying operating system is hardened."
ISM-1606,Patch software-based isolation mechanisms and underlying OS promptly,Y,,"When using a software-based isolation mechanism to share a physical server’s hardware, patches, updates or vendor mitigations for vulnerabilities are applied to the isolation mechanism and underlying operating system in a timely manner."
ISM-1848,Replace software-based isolation mechanism/OS when vendor support ends,Y,,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism or underlying operating system is replaced when it is no longer supported by a vendor."
ISM-1607,Perform integrity monitoring and logging for software-based isolation mechanism and underlying OS,Y,,"When using a software-based isolation mechanism to share a physical server’s hardware, integrity monitoring and centralised event logging is performed for the isolation mechanism and underlying operating system."
ISM-1461,Ensure same classification/security domain for SECRET/TOP SECRET software-isolated environments,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"When using a software-based isolation mechanism to share a physical server’s hardware for SECRET or TOP SECRET computing environments, the physical server and all computing environments are of the same classification and belong to the same security domain."
ISM-0042,System administration processes and procedures maintained,Y,,"System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
ISM-1211,System admins follow system change/config management plan,Y,,System administrators perform system administration activities in accordance with the system’s change and configuration management plan.
ISM-1898,Use Secure Admin Workstations for admin tasks,Y,,Secure Admin Workstations are used in the performance of administrative activities.
ISM-1380,Privileged users use separate privileged/unprivileged operating environments,Y,,Privileged users use separate privileged and unprivileged operating environments.
ISM-1687,Do not virtualise privileged environments within unprivileged ones,Y,,Privileged operating environments are not virtualised within unprivileged operating environments.
ISM-1688,Unprivileged accounts cannot logon to privileged environments,Y,,Unprivileged user accounts cannot logon to privileged operating environments.
ISM-1689,Privileged accounts (excluding local admin) cannot logon to unprivileged environments,Y,,Privileged user accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.
ISM-1958,Accounts with DCSync permissions cannot logon to unprivileged environments,Y,,User accounts with DCSync permissions cannot logon to unprivileged operating environments.
ISM-1385,Segregate administrative infrastructure from network/internet,Y,,Administrative infrastructure is segregated from the wider network and the internet.
ISM-1750,Segregate admin infrastructure by server criticality,Y,,"Administrative infrastructure for critical servers, high-value servers and regular servers is segregated from each other."
ISM-1386,Network management traffic originates only from admin infrastructure,Y,,Network management traffic can only originate from administrative infrastructure.
ISM-1387,Conduct admin activities through jump servers,Y,,Administrative activities are conducted through jump servers.
ISM-1899,Non-admin network devices cannot initiate connections with admin infrastructure,Y,,Network devices that do not belong to administrative infrastructure cannot initiate connections with administrative infrastructure.
ISM-1143,Patch management processes and procedures maintained,Y,,"Patch management processes, and supporting patch management procedures, are developed, implemented and maintained."
ISM-0298,Centralised and managed patching approach used to maintain integrity,Y,,"A centralised and managed approach that maintains the integrity of patches or updates, and confirms that they have been applied successfully, is used to patch or update applications, operating systems, drivers and firmware."
ISM-1493,Software registers for IT equipment maintained regularly,Y,,"Software registers for workstations, servers, network devices and networked IT equipment are developed, implemented, maintained and verified on a regular basis."
ISM-1643,Software registers include versions and patch histories,Y,,"Software registers contain versions and patch histories of applications, drivers, operating systems and firmware."
ISM-1807,Automated asset discovery used at least fortnightly,Y,,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.
ISM-1808,Use vulnerability scanner with up-to-date DB,Y,,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.
ISM-1698,Daily vulnerability scanning for online services,Y,,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in online services.
ISM-1699,Weekly vulnerability scanning for office/browser/email/security products,Y,,"A vulnerability scanner is used at least weekly to identify missing patches or updates for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products."
ISM-1700,Fortnightly vulnerability scanning for other applications,Y,,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products."
ISM-1701,Daily vulnerability scanning for internet-facing OS of servers/network devices,Y,,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices.
ISM-1702,Fortnightly vulnerability scanning for workstations and non-internet-facing servers/network devices,Y,,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices."
ISM-1752,Fortnightly vulnerability scanning for other IT equipment other than workstation/servers/network devices,Y,,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in operating systems of IT equipment other than workstations, servers and network devices."
ISM-1703,Fortnightly driver vulnerability scanning,Y,,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in drivers.
ISM-1900,Fortnightly firmware vulnerability scanning,Y,,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in firmware.
ISM-1921,Assess compromise likelihood when working exploits exist,Y,,The likelihood of system compromise is frequently assessed when working exploits exist for unmitigated vulnerabilities.
ISM-1876,Apply critical online service patches within 48 hours if or when working exploit exists,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1690,Apply non-critical online service patches within two weeks if no working exploits exist,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1691,Apply patches for office/browser/email/security products within two weeks,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within two weeks of release."
ISM-1692,Apply critical patches for office/browser/email within 48 hours,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1901,Apply non-critical office/browser/email patches within two weeks,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1693,Apply non-critical patches for other applications within one month,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within one month of release."
ISM-1877,Apply critical internet-facing OS patches within 48 hours,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1694,Apply non-critical internet-facing OS patches within two weeks,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1695,Apply OS patches for workstations and non-internet servers/network devices within one month,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within one month of release."
ISM-1696,Apply critical OS patches for workstations and non-internet-facing servers/network devices within 48 hours,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1902,Apply non-critical OS patches for workstations and non-internet servers/network devices within one month,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1878,Apply critical OS patches for other IT equipment within 48 hours,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of IT equipment other than workstations, servers and network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1751,Apply non-critical OS patches for other IT equipment within one month,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of IT equipment other than workstations, servers and network devices are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1879,Apply critical driver patches within 48 hours,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in drivers are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1697,Apply non-critical driver patches within one month,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in drivers are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1903,Apply critical firmware patches within 48 hours,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in firmware are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1904,Apply non-critical firmware patches within one month,Y,,"Patches, updates or other vendor mitigations for vulnerabilities in firmware are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-0300,High-assurance IT patches only with ASD approval per methods/timeframes,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Patches, updates or other vendor mitigations for vulnerabilities in high assurance IT equipment are applied only when approved by ASD, and in doing so, using methods and timeframes prescribed by ASD."
ISM-1905,Remove unsupported online services,N,,Online services that are no longer supported by vendors are removed.
ISM-1704,Remove unsupported office/browser/email/pdf/security products and Adobe Flash Player,Y,,"Office productivity suites, web browsers and their extensions, email clients, PDF applications, Adobe Flash Player, and security products that are no longer supported by vendors are removed."
ISM-0304,Remove other unsupported applications,Y,,"Applications other than office productivity suites, web browsers and their extensions, email clients, PDF applications, Adobe Flash Player, and security products that are no longer supported by vendors are removed."
ISM-1501,Replace unsupported operating systems,Y,,Operating systems that are no longer supported by vendors are replaced.
ISM-1753,Replace unsupported internet-facing network devices,Y,,Internet-facing network devices that are no longer supported by vendors are replaced.
ISM-1981,Replace unsupported non-internet network devices,Y,,Non-internet-facing network devices that are no longer supported by vendors are replaced.
ISM-1982,Replace unsupported networked IT equipment,Y,,Networked IT equipment that is no longer supported by vendors is replaced.
ISM-1809,Implement compensating controls until removal/replacement possible,Y,,"When applications, operating systems, network devices or networked IT equipment that are no longer supported by vendors cannot be immediately removed or replaced, compensating controls are implemented until such time that they can be removed or replaced."
ISM-1510,Digital preservation policy maintained,Y,,"A digital preservation policy is developed, implemented and maintained."
ISM-1547,Data backup processes and procedures maintained,Y,,"Data backup processes, and supporting data backup procedures, are developed, implemented and maintained."
ISM-1548,Data restoration processes and procedures maintained,Y,,"Data restoration processes, and supporting data restoration procedures, are developed, implemented and maintained."
ISM-1511,Backups performed and retained per business criticality,Y,,"Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements."
ISM-1810,Synchronise backups to common point in time,Y,,"Backups of data, applications and settings are synchronised to enable restoration to a common point in time."
ISM-1811,Store backups securely and resiliently,Y,,"Backups of data, applications and settings are retained in a secure and resilient manner."
ISM-1812,Prevent unprivileged users accessing others' backups,Y,,Unprivileged user accounts cannot access backups belonging to other user accounts.
ISM-1813,Prevent unprivileged users accessing own backups,Y,,Unprivileged user accounts cannot access their own backups.
ISM-1705,Privileged users (except backup admins) cannot access others' backups,Y,,Privileged user accounts (excluding backup administrator accounts) cannot access backups belonging to other user accounts.
ISM-1706,Privileged users (except backup admins) cannot access own backups,Y,,Privileged user accounts (excluding backup administrator accounts) cannot access their own backups.
ISM-1814,Prevent unprivileged users modifying/deleting backups,Y,,Unprivileged user accounts are prevented from modifying and deleting backups.
ISM-1707,Prevent privileged users (except backup admins) modifying/deleting backups,Y,,Privileged user accounts (excluding backup administrator accounts) are prevented from modifying and deleting backups.
ISM-1708,Backup admins prevented from modifying/deleting backups during retention period,Y,,Backup administrator accounts are prevented from modifying and deleting backups during their retention period.
ISM-1515,Test restoration to common point in time in disaster recovery exercises,Y,,"Restoration of data, applications and settings from backups to a common point in time is tested as part of disaster recovery exercises."
ISM-0580,Event logging policy maintained,Y,,"An event logging policy is developed, implemented and maintained."
ISM-1405,Centralised event logging facility implemented,Y,,A centralised event logging facility is implemented.
ISM-1983,Send event logs to centralised logging facility as soon as possible,Y,,Event logs sent to a centralised event logging facility are done so as soon as possible after they occur.
ISM-1984,Encrypt event logs in transit,Y,,Event logs sent to a centralised event logging facility are encrypted in transit.
ISM-1985,Protect event logs from unauthorised access,Y,,Event logs are protected from unauthorised access.
ISM-1815,Protect logs from unauthorised modification/deletion,Y,,Event logs are protected from unauthorised modification and deletion.
ISM-0988,Use accurate & consistent time source for logging,Y,,An accurate and consistent time source is used for event logging.
ISM-0585,Capture date/time/user/process/filename/event/equipment for event logs,Y,,"For each event logged, the date and time of the event, the relevant user or process, the relevant filename, the event description, and the information technology equipment involved are captured."
ISM-1959,Capture and store event logs in consistent-structured format where possible,Y,,"To the extent possible, event logs are captured and stored in a consistent and structured format."
ISM-1986,Analyse critical server event logs promptly to detect events,Y,,Event logs from critical servers are analysed in a timely manner to detect cyber security events.
ISM-1906,Analyse internet-facing server event logs promptly,Y,,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.
ISM-1907,Analyse non-internet-facing server event logs promptly,Y,,Event logs from non-internet-facing servers are analysed in a timely manner to detect cyber security events.
ISM-0109,Analyse workstation event logs promptly,Y,,Event logs from workstations are analysed in a timely manner to detect cyber security events.
ISM-1987,Analyse security product event logs promptly,Y,,Event logs from security products are analysed in a timely manner to detect cyber security events.
ISM-1960,Analyse internet-facing network device event logs promptly,Y,,Event logs from internet-facing network devices are analysed in a timely manner to detect cyber security events.
ISM-1961,Analyse non-internet-facing network device event logs promptly,Y,,Event logs from non-internet-facing network devices are analysed in a timely manner to detect cyber security events.
ISM-1228,Analyse security events to identify incidents promptly,Y,,Cyber security events are analysed in a timely manner to identify cyber security incidents.
ISM-1988,Retain event logs in searchable manner for >=12 months,Y,,Event logs are retained in a searchable manner for at least 12 months.
ISM-1989,Retain event logs as per NAA AFDA Express v2 retention rules,Y,,Event logs are retained as per minimum retention requirements for various classes of records as set out by the National Archives of Australia’s Administrative Functions Disposal Authority Express (AFDA Express) Version 2 publication.
ISM-0400,Segregate dev/test/staging/prod environments,Y,,"Development, testing, staging and production environments are segregated."
ISM-1419,Development only takes place in development environments,Y,,Development and modification of software only takes place in development environments.
ISM-1420,Do not use production data in non-prod unless equally secured,Y,,Data from production environments is not used in non-production environments unless the non-production environment is secured to at least the same level as the production environment.
ISM-2023,Maintain authoritative source for software,Y,,An authoritative source for software is established and maintained.
ISM-2024,Use authoritative software source for all development activities,Y,,The authoritative source for software is used for all software development activities.
ISM-1422,Prevent unauthorised access to authoritative source,Y,,Unauthorised access to the authoritative source for software is prevented.
ISM-1816,Prevent unauthorised modification of authoritative source,Y,,Unauthorised modification of the authoritative source for software is prevented.
ISM-2025,Use issue tracking solution to link development tasks to security/feature requests/bugs/fixes,Y,,"An issue tracking solution is used to link software development tasks to security issues and decisions, change or feature requests, programming issues, or bug fixes."
ISM-2026,Scan all software artefacts for malicious code before import,Y,,"All software artefacts are scanned for malicious code before being imported into the authoritative source for software, including all compiled code, third-party libraries and software components."
ISM-2027,Verify artefacts by signature or secure hash before import,Y,,"All software artefacts are verified by a digital signature, or a secure hash provided over a secure channel, before being imported into the authoritative source for software."
